x1,y1,x2,y2,index1,index2
700,350,60,153,0,119
60,153,605,110,119,176
605,110,80,126,176,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,87,118,177,123
87,118,619,126,123,178
619,126,80,126,178,122
80,126,605,110,122,176
605,110,73,135,176,121
73,135,612,118,121,177
612,118,87,118,177,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,619,126,124,178
619,126,80,126,178,122
80,126,612,118,122,177
612,118,73,135,177,121
73,135,605,110,121,176
605,110,80,126,176,122
80,126,619,126,122,178
619,126,94,110,178,124
94,110,626,135,124,179
626,135,87,118,179,123
87,118,619,126,123,178
619,126,94,110,178,124
94,110,612,118,124,177
612,118,73,135,177,121
73,135,605,110,121,176
605,110,87,118,176,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,633,144,124,180
633,144,24,221,180,112
24,221,656,181,112,184
656,181,33,200,184,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,661,191,114,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,54,162,187,118
54,162,689,262,118,192
689,262,48,171,192,117
48,171,666,200,117,186
666,200,33,200,186,114
33,200,656,181,114,184
656,181,28,210,184,113
28,210,661,191,113,185
661,191,33,200,185,114
33,200,666,200,114,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,38,191,187,115
38,191,666,200,115,186
666,200,33,200,186,114
33,200,656,181,114,184
656,181,28,210,184,113
28,210,661,191,113,185
661,191,38,191,185,115
38,191,666,200,115,186
666,200,43,181,186,116
43,181,671,210,116,187
671,210,38,191,187,115
38,191,656,181,115,184
656,181,28,210,184,113
28,210,639,153,113,181
639,153,94,110,181,124
94,110,612,118,124,177
612,118,80,126,177,122
80,126,619,126,122,178
619,126,87,118,178,123
87,118,612,118,123,177
612,118,73,135,177,121
73,135,597,102,121,175
597,102,66,144,175,120
66,144,605,110,120,176
605,110,87,118,176,123
87,118,626,135,123,179
626,135,102,102,179,125
102,102,633,144,125,180
633,144,94,110,180,124
94,110,619,126,124,178
619,126,102,102,178,125
102,102,626,135,125,179
626,135,110,94,179,126
110,94,633,144,126,180
633,144,87,118,180,123
87,118,626,135,123,179
626,135,94,110,179,124
94,110,639,153,124,181
639,153,87,118,181,123
87,118,605,110,123,176
605,110,66,144,176,120
66,144,612,118,120,177
612,118,60,153,177,119
60,153,671,210,119,187
671,210,43,181,187,116
43,181,661,191,116,185
661,191,33,200,185,114
33,200,666,200,114,186
666,200,43,181,186,116
43,181,675,221,116,188
675,221,66,144,188,120
66,144,605,110,120,176
605,110,80,126,176,122
80,126,597,102,122,175
597,102,73,135,175,121
73,135,589,94,121,174
589,94,273,691,174,57
273,691,328,0,57,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,284,693,147,56
284,693,328,0,56,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,284,693,147,56
284,693,328,0,56,148
328,0,295,695,148,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,295,4,54,145
295,4,317,698,145,53
317,698,284,6,53,144
284,6,328,699,144,52
328,699,273,8,52,143
273,8,317,698,143,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,306,697,147,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,317,1,55,147
317,1,415,693,147,44
415,693,371,0,44,152
371,0,404,695,152,45
404,695,382,1,45,153
382,1,393,697,153,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,415,6,48,156
415,6,382,698,156,47
382,698,393,2,47,154
393,2,393,697,154,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,371,0,45,152
371,0,393,697,152,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,415,6,48,156
415,6,360,699,156,49
360,699,404,4,49,155
404,4,382,698,155,47
382,698,393,2,47,154
393,2,393,697,154,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,360,0,45,151
360,0,415,693,151,44
415,693,371,0,44,152
371,0,404,695,152,45
404,695,360,0,45,151
360,0,426,691,151,43
426,691,371,0,43,152
371,0,393,697,152,46
393,697,382,1,46,153
382,1,404,695,153,45
404,695,371,0,45,152
371,0,393,697,152,46
393,697,393,2,46,154
393,2,382,698,154,47
382,698,404,4,47,155
404,4,371,699,155,48
371,699,426,8,48,157
426,8,360,699,157,49
360,699,273,8,49,143
273,8,339,699,143,51
339,699,284,6,51,144
284,6,317,698,144,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,295,695,146,55
295,695,328,0,55,148
328,0,284,693,148,56
284,693,339,0,56,149
339,0,295,695,149,55
295,695,581,87,55,173
581,87,328,699,173,52
328,699,284,6,52,144
284,6,317,698,144,53
317,698,295,4,53,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,317,698,146,53
317,698,295,4,53,145
295,4,328,699,145,52
328,699,262,10,52,142
262,10,349,700,142,50
349,700,415,6,50,156
415,6,382,698,156,47
382,698,404,4,47,155
404,4,360,699,155,49
360,699,415,6,49,156
415,6,382,698,156,47
382,698,118,87,47,127
118,87,626,135,127,179
626,135,110,94,179,126
110,94,679,231,126,189
679,231,43,181,189,116
43,181,661,191,116,185
661,191,38,191,185,115
38,191,656,181,115,184
656,181,20,231,184,111
20,231,597,102,111,175
597,102,13,252,175,109
13,252,651,171,109,183
651,171,33,200,183,114
33,200,656,181,114,184
656,181,24,221,184,112
24,221,626,135,112,179
626,135,80,126,179,122
80,126,589,94,122,174
589,94,73,135,174,121
73,135,605,110,121,176
605,110,60,153,176,119
60,153,671,210,119,187
671,210,38,191,187,115
38,191,675,221,115,188
675,221,43,181,188,116
43,181,679,231,116,189
679,231,102,102,189,125
102,102,682,241,125,190
682,241,48,171,190,117
48,171,686,252,117,191
686,252,102,102,191,125
102,102,537,645,125,32
537,645,555,66,32,170
555,66,508,661,170,35
508,661,4,404,35,95
4,404,221,24,95,138
221,24,339,699,138,51
339,699,284,6,51,144
284,6,328,699,144,52
328,699,295,4,52,145
295,4,306,697,145,54
306,697,306,2,54,146
306,2,10,262,146,108
10,262,651,171,108,183
651,171,17,241,183,110
17,241,656,181,110,184
656,181,20,231,184,111
20,231,626,135,111,179
626,135,110,94,179,126
110,94,458,682,126,40
458,682,564,73,40,171
564,73,437,689,171,42
437,689,360,0,42,151
360,0,404,695,151,45
404,695,118,87,45,127
118,87,371,699,127,48
371,699,437,10,48,158
437,10,360,699,158,49
360,699,447,13,49,159
447,13,371,699,159,48
371,699,426,8,48,157
426,8,339,699,157,51
339,699,284,6,51,144
284,6,349,700,144,50
349,700,437,10,50,158
437,10,371,699,158,48
371,699,126,80,48,128
126,80,382,698,128,47
382,698,426,8,47,157
426,8,317,698,157,53
317,698,573,80,53,172
573,80,328,699,172,52
328,699,241,17,52,140
241,17,339,699,140,51
339,699,210,28,51,137
210,28,28,489,137,87
28,489,564,626,87,29
564,626,33,499,29,86
33,499,573,619,86,28
573,619,38,508,28,85
38,508,564,626,85,29
564,626,546,60,29,169
546,60,573,619,169,28
573,619,43,518,28,84
43,518,581,612,84,27
581,612,48,528,27,83
48,528,589,605,83,26
589,605,54,537,26,82
54,537,181,43,82,134
181,43,60,546,134,81
60,546,589,605,81,26
589,605,537,54,26,168
537,54,597,597,168,25
597,597,66,555,25,80
66,555,612,581,80,23
612,581,87,581,23,77
87,581,633,555,77,20
633,555,102,597,20,75
102,597,639,546,75,19
639,546,94,589,19,76
94,589,171,48,76,133
171,48,87,581,133,77
87,581,612,581,77,23
612,581,528,48,23,167
528,48,619,573,167,22
619,573,80,573,22,78
80,573,612,581,78,23
612,581,87,581,23,77
87,581,171,48,77,133
171,48,94,589,133,76
94,589,633,555,76,20
633,555,102,597,20,75
102,597,171,48,75,133
171,48,80,573,133,78
80,573,626,564,78,21
626,564,528,48,21,167
528,48,619,573,167,22
619,573,73,564,22,79
73,564,612,581,79,23
612,581,87,581,23,77
87,581,171,48,77,133
171,48,102,597,133,75
102,597,162,54,75,132
162,54,135,626,132,71
135,626,153,60,71,131
153,60,181,656,131,66
181,656,144,66,66,130
144,66,210,671,130,63
210,671,597,102,63,175
597,102,73,135,175,121
73,135,612,118,121,177
612,118,66,144,177,120
66,144,589,94,120,174
589,94,171,651,174,67
171,651,144,66,67,130
144,66,221,675,130,62
221,675,581,87,62,173
581,87,328,699,173,52
328,699,252,13,52,141
252,13,426,691,141,43
426,691,564,73,43,171
564,73,447,686,171,41
447,686,181,43,41,134
181,43,66,555,134,80
66,555,605,589,80,24
605,589,537,54,24,168
537,54,581,612,168,27
581,612,546,60,27,169
546,60,528,651,169,33
528,651,555,66,33,170
555,66,489,671,170,37
489,671,118,87,37,127
118,87,458,682,127,40
458,682,564,73,40,171
564,73,66,144,171,120
66,144,698,317,120,197
698,317,60,153,197,119
60,153,612,118,119,177
612,118,48,528,177,83
48,528,619,126,83,178
619,126,110,94,178,126
110,94,528,651,126,33
528,651,546,60,33,169
546,60,537,645,169,32
537,645,555,66,32,170
555,66,499,666,170,36
499,666,118,87,36,127
118,87,415,693,127,44
415,693,371,0,44,152
371,0,284,693,152,56
284,693,339,0,56,149
339,0,404,695,149,45
404,695,126,80,45,128
126,80,360,699,128,49
360,699,458,17,49,160
458,17,262,689,160,58
262,689,135,73,58,129
135,73,273,691,129,57
273,691,339,0,57,149
339,0,415,693,149,44
415,693,360,0,44,151
360,0,284,693,151,56
284,693,349,0,56,150
349,0,404,695,150,45
404,695,564,73,45,171
564,73,468,679,171,39
468,679,162,54,39,132
162,54,144,633,132,70
144,633,153,60,70,131
153,60,171,651,131,67
171,651,689,437,67,8
689,437,478,24,8,162
478,24,360,699,162,49
360,699,468,20,49,161
468,20,349,700,161,50
349,700,273,8,50,143
273,8,317,698,143,53
317,698,437,10,53,158
437,10,328,699,158,52
328,699,231,20,52,139
231,20,4,404,139,95
4,404,633,144,95,180
633,144,94,110,180,124
94,110,645,162,124,182
645,162,6,284,182,106
6,284,639,153,106,181
639,153,28,210,181,113
28,210,645,162,113,182
645,162,4,295,182,105
4,295,639,153,105,181
639,153,0,328,181,102
0,328,645,162,102,182
645,162,2,306,182,104
2,306,639,153,104,181
639,153,87,118,181,123
87,118,633,144,123,180
633,144,144,66,180,130
144,66,200,666,130,64
200,666,697,393,64,4
697,393,478,24,4,162
478,24,360,699,162,49
360,699,489,28,49,163
489,28,691,426,163,7
691,426,153,639,7,69
153,639,153,60,69,131
153,60,126,619,131,72
126,619,661,508,72,15
661,508,118,612,15,73
118,612,656,518,73,16
656,518,126,619,16,72
126,619,661,508,72,15
661,508,508,38,15,165
508,38,651,528,165,17
651,528,110,605,17,74
110,605,645,537,74,18
645,537,518,43,18,166
518,43,651,528,166,17
651,528,118,612,17,73
118,612,162,54,73,132
162,54,144,633,132,70
144,633,499,33,70,164
499,33,349,700,164,50
349,700,415,6,50,156
415,6,339,699,156,51
339,699,231,20,51,139
231,20,10,437,139,92
10,437,10,262,92,108
10,262,651,171,108,183
651,171,8,273,183,107
8,273,639,153,107,181
639,153,144,66,181,130
144,66,231,679,130,61
231,679,537,54,61,168
537,54,573,619,168,28
573,619,546,60,28,169
546,60,546,639,169,31
546,639,17,458,31,90
17,458,231,20,90,139
231,20,20,468,139,89
20,468,200,33,89,136
200,33,24,478,136,88
24,478,581,87,88,173
581,87,73,135,173,121
73,135,619,126,121,178
619,126,24,221,178,112
24,221,633,144,112,180
633,144,6,415,180,94
6,415,221,24,94,138
221,24,8,426,138,93
8,426,633,144,93,180
633,144,162,54,180,132
162,54,589,605,132,26
589,605,171,48,26,133
171,48,102,597,133,75
102,597,633,555,75,20
633,555,528,48,20,167
528,48,110,605,167,74
110,605,645,537,74,18
645,537,144,66,18,130
144,66,191,661,130,65
191,661,698,382,65,3
698,382,66,144,3,120
66,144,697,306,120,196
697,306,54,162,196,118
54,162,605,110,118,176
605,110,48,171,176,117
48,171,691,273,117,193
691,273,54,162,193,118
54,162,693,284,118,194
693,284,48,171,194,117
48,171,666,200,117,186
666,200,306,2,186,146
306,2,317,698,146,53
317,698,262,10,53,142
262,10,118,87,142,127
118,87,518,656,127,34
518,656,555,66,34,170
555,66,66,144,170,120
66,144,597,102,120,175
597,102,144,633,175,70
144,633,679,468,70,11
679,468,153,639,11,69
153,639,675,478,69,12
675,478,489,28,12,163
489,28,693,415,163,6
693,415,66,144,6,120
66,144,699,339,120,199
699,339,60,153,199,119
60,153,699,360,119,1
699,360,181,656,1,66
181,656,153,60,66,131
153,60,162,645,131,68
162,645,682,458,68,10
682,458,478,24,10,162
478,24,349,700,162,50
349,700,447,13,50,159
447,13,360,699,159,49
360,699,262,10,49,142
262,10,118,87,142,127
118,87,528,651,127,33
528,651,8,426,33,93
8,426,252,13,93,141
252,13,339,699,141,51
339,699,262,10,51,142
262,10,118,87,142,127
118,87,537,645,127,32
537,645,17,458,32,90
17,458,10,262,90,108
10,262,20,468,108,89
20,468,573,80,89,172
573,80,73,564,172,79
73,564,605,589,79,24
605,589,60,546,24,81
60,546,619,126,81,178
619,126,20,468,178,89
20,468,13,252,89,109
13,252,537,54,109,168
537,54,339,699,168,51
339,699,437,10,51,158
437,10,695,404,158,5
695,404,73,135,5,121
73,135,679,231,121,189
679,231,252,686,189,59
252,686,518,43,59,166
518,43,349,700,166,50
349,700,458,17,50,160
458,17,371,699,160,48
371,699,415,6,48,156
415,6,360,699,156,49
360,699,273,8,49,143
273,8,339,699,143,51
339,699,191,38,51,135
191,38,437,689,135,42
437,689,221,24,42,138
221,24,328,699,138,52
328,699,241,17,52,140
241,17,371,699,140,48
371,699,393,2,48,154
393,2,393,697,154,46
393,697,382,1,46,153
382,1,210,28,153,137
210,28,33,499,137,86
33,499,573,80,86,172
573,80,38,508,172,85
